TeamName,Year,Wins,Losses,OTLosses,WinPrecent,GoalsFor,GoalsAgainst,PlusMinus
Detroit Red Wings,1990,34,38,,0.425,273,298,-25
Detroit Red Wings,1991,43,25,,0.537,320,256,64
Detroit Red Wings,1992,47,28,,0.56,369,280,89
Detroit Red Wings,1993,46,30,,0.548,356,275,81
Detroit Red Wings,1994,33,11,,0.688,180,117,63
Detroit Red Wings,1995,62,13,,0.756,325,181,144
Detroit Red Wings,1996,38,26,,0.463,253,197,56
Detroit Red Wings,1997,44,23,,0.537,250,196,54
Detroit Red Wings,1998,43,32,,0.524,245,202,43
Detroit Red Wings,1999,48,22,2,0.585,278,210,68
Detroit Red Wings,2000,49,20,4,0.598,253,202,51
Detroit Red Wings,2001,51,17,4,0.622,251,187,64
Detroit Red Wings,2002,48,20,4,0.585,269,203,66
Detroit Red Wings,2003,48,21,2,0.585,255,189,66
Detroit Red Wings,2005,58,16,8,0.707,305,209,96
Detroit Red Wings,2006,50,19,13,0.61,254,199,55
Detroit Red Wings,2007,54,21,7,0.659,257,184,73
Detroit Red Wings,2008,51,21,10,0.622,295,244,51
Detroit Red Wings,2009,44,24,14,0.537,229,216,13
Detroit Red Wings,2010,47,25,10,0.573,261,241,20
Detroit Red Wings,2011,48,28,6,0.585,248,203,45
